Product StockKeepingUnit,Price (01s68000002d6IvAAI) EUR,Price (01s68000002d6IvAAI) RON,IsActive
5200569203,,68.45,true
5200569204,,75.49,true
5200569205,,81.95,true
5200569206,,85.87,true
5200569207,,97.09,true
5200569208,,101.48,true
5200569209,,103.09,true
5200569210,,109.97,true
5200569211,,117.23,true
5200569212,,127.33,true
5200569213,,130.96,true
5200569214,,156.81,true
5200569215,,168.92,true
5200569216,,181.43,true
5200569217,,190.72,true
5200569218,,207.35,true
5200569219,,61.35,true
5200569220,,64.22,true
5200569221,,71.04,true
5200569222,,73.74,true
5200569223,,76.03,true
5200569224,,80.05,true
5200569225,,80.95,true
5200569226,,82.75,true
5200569227,,89.02,true
5200569228,,96.22,true
5200569229,,99.85,true
5200569230,,115.05,true
5200569231,,119.81,true
5200569232,,121.61,true
5200569233,,129.08,true
5200569234,,132.23,true
5200569235,,143.21,true
5200569236,,147.26,true
5200569237,,174.07,true
5200569238,,187.57,true
5200569239,,201.51,true
5200569240,,211.86,true
5200569241,,73.16,true
5200569242,,75.98,true
5200569243,,81.74,true
5200569244,,84.72,true
5200569245,,87.25,true
5200569246,,91.45,true
5200569247,,96.88,true
5200569248,,96.2,true
5200569249,,105.68,true
5200569250,,113.62,true
5200569251,,120.07,true
5200569252,,129.5,true
5200569253,,134.62,true
5200569254,,136.61,true
5200569255,,144.68,true
5200569256,,148.15,true
5200569257,,160.01,true
5200569258,,164.47,true
5200569259,,192.26,true
5200569260,,207.14,true
5200569261,,222.51,true
5200569262,,233.92,true
5200569307,,829.8,true
5200569553,,13,true
5200569554,,14.38,true
5200569556,,21.82,true
5200569558,,20.78,true
5200569559,,22.16,true
5200569560,,25.38,true
5200569580,,32.74,true
5200569744,34.69,172.23,true
5200570270,,86.36,true
5200570420,,29.4,true
5200570789,162.14,804.99,true
5200571136,,75,true
5200571528,3,14.89,true
5200571544,5.04,25.02,true
5200571546,5.82,28.9,true
5200571547,7.76,38.53,true
5200571548,5.8,28.8,true
5200571549,6.69,33.21,true
5200571550,8.92,44.29,true
5200571553,7.77,38.58,true
5200571555,10.36,51.44,true
5200571557,3.95,19.61,true
5200571558,4.56,22.64,true
5200571562,6.08,30.19,true
5200571688,14.08,69.9,true
5200571761,31.16,154.7,true
5200571872,18.08,89.76,true
5200572264,38.9,193.13,true
5200572339,,2038.08,true
5200572968,49.34,244.96,true
5200573232,,187.04,true
5200573233,,198.23,true
5200573234,,187.04,true
5200573235,,187.04,true
5200573236,,187.04,true
5200573237,,266.46,true
5200573238,,198.23,true
5200573239,,187.04,true
5200573240,,187.04,true
5200573241,,187.04,true
5200573243,,266.46,true
5200573244,,213.8,true
5200573245,,198.23,true
5200573246,,187.04,true
5200573247,,266.46,true
5200573248,,213.8,true
5200573249,,198.23,true
5200573250,,198.23,true
5200573251,,187.04,true
5200573253,,213.8,true
5200573254,,198.23,true
5200573255,,187.04,true
5200573256,,191.55,true
5200573258,,266.46,true
5200573259,,213.8,true
5200573260,,191.55,true
5200573261,,187.04,true
5200573262,,316.87,true
5200573263,,213.8,true
5200573264,,198.23,true
5200573265,,187.04,true
5200573266,,187.04,true
5200573267,,316.87,true
5200573268,,198.23,true
5200573269,,187.04,true
5200573270,,187.04,true
5200573271,,187.04,true
5200573272,,213.8,true
5200573273,,191.55,true
5200573274,,191.55,true
5200573275,,187.04,true
5200573276,,187.04,true
5200573277,,213.8,true
5200573278,,198.23,true
5200573279,,191.55,true
5200573280,,187.04,true
5200573281,,187.04,true
5200573282,,266.46,true
5200573283,,198.23,true
5200573284,,187.04,true
5200573285,,187.04,true
5200573286,,187.04,true
5200573287,,266.46,true
5200573288,,213.8,true
5200573289,,198.23,true
5200573290,,191.55,true
5200573291,,187.04,true
5200573292,,266.46,true
5200573293,,213.8,true
5200573294,,191.55,true
5200573295,,187.04,true
5200573296,,187.04,true
5200573297,,266.46,true
5200573298,,213.8,true
5200573299,,191.55,true
5200573300,,191.55,true
5200573301,,187.04,true
5200573303,,266.46,true
5200573304,,213.8,true
5200573305,,198.23,true
5200573306,,198.23,true
5200573313,,266.46,true
5200573314,,213.8,true
5200573315,,198.23,true
5200573316,,191.55,true
5200573318,,266.46,true
5200573319,,213.8,true
5200573320,,191.55,true
5200573321,,198.23,true
5200573323,,266.46,true
5200573324,,213.8,true
5200573325,,191.55,true
5200573326,,191.55,true
5200573327,,316.87,true
5200573328,,266.46,true
5200573329,,213.8,true
5200573330,,198.23,true
5200573331,,198.23,true
5200573332,,266.46,true
5200573333,,191.55,true
5200573334,,187.04,true
5200573335,,191.55,true
5200573336,,191.55,true
5200573338,,266.46,true
5200573339,,213.8,true
5200573340,,198.23,true
5200573341,,198.23,true
5200573342,,191.55,true
5200573343,,187.04,true
5200573344,,187.04,true
5200573345,,191.55,true
5200573346,,191.55,true
5200573348,,266.46,true
5200573349,,266.46,true
5200573350,,198.23,true
5200573351,,191.55,true
5200573352,,316.87,true
5200573353,,266.46,true
5200573354,,213.8,true
5200573355,,213.8,true
5200573356,,198.23,true
5200573357,,266.46,true
5200573360,,191.55,true
5200573361,,187.04,true
5200573362,,213.8,true
5200573364,,187.04,true
5200573365,,187.04,true
5200573366,,187.04,true
5200573367,,266.46,true
5200573368,,191.55,true
5200573369,,187.04,true
5200573370,,187.04,true
5200573372,,266.46,true
5200573373,,198.23,true
5200573374,,187.04,true
5200573375,,187.04,true
5200573376,,187.04,true
5200573377,,213.8,true
5200573378,,191.55,true
5200573380,,187.04,true
5200573381,,187.04,true
5200573383,,213.8,true
5200573384,,191.55,true
5200573385,,191.55,true
5200573386,,191.55,true
5200573389,,198.23,true
5200573390,,187.04,true
5200573391,,187.04,true
5200573397,,266.46,true
5200573398,,213.8,true
5200573399,,198.23,true
5200573400,,191.55,true
5200573401,,187.04,true
5200573403,,266.46,true
5200573404,,213.8,true
5200573405,,191.55,true
5200573406,,187.04,true
5200573409,,316.87,true
5200573410,,266.46,true
5200573411,,266.46,true
5200573413,,316.87,true
5200573414,,266.46,true
5200573415,,198.23,true
5200573416,,187.04,true
5200573418,,266.46,true
5200573419,,266.46,true
5200573420,,266.46,true
5200573421,,191.55,true
5200573422,,266.46,true
5200573423,,213.8,true
5200573424,,191.55,true
5200573425,,187.04,true
5200573426,,187.04,true
5200573427,,198.23,true
5200573428,,198.23,true
5200573429,,191.55,true
5200573430,,187.04,true
5200573431,,187.04,true
5200573432,,213.8,true
5200573433,,266.46,true
5200573434,,191.55,true
5200573435,,187.04,true
5200573436,,187.04,true
5200573437,,187.04,true
5200573438,,191.55,true
5200573439,,213.8,true
5200573440,,266.46,true
5200573441,,187.04,true
5200573442,,191.55,true
5200573443,,266.46,true
5200573444,,191.55,true
5200573445,,191.55,true
5200573446,,198.23,true
5200573447,,266.46,true
5200573448,,187.04,true
5200573449,,187.04,true
5200573450,,187.04,true
5200573451,,187.04,true
5200573452,,187.04,true
5200573453,,187.04,true
5200573454,,191.55,true
5200573455,,198.23,true
5200573456,,187.04,true
5200573457,,187.04,true
5200573458,,187.04,true
5200573459,,187.04,true
5200573460,,187.04,true
5200573461,,187.04,true
5200573462,,198.23,true
5200573463,,198.23,true
5200573464,,187.04,true
5200573465,,187.04,true
5200573466,,213.8,true
5200573467,,266.46,true
5200573468,,187.04,true
5200573469,,187.04,true
5200573470,,187.04,true
5200573471,,213.8,true
5200573472,,187.04,true
5200573473,,187.04,true
5200573474,,187.04,true
5200573475,,198.23,true
5200573476,,213.8,true
5200573477,,187.04,true
5200573478,,187.04,true
5200573479,,187.04,true
5200573480,,187.04,true
5200573481,,198.23,true
5200573482,,187.04,true
5200573483,,187.04,true
5200573484,,187.04,true
5200573485,,266.46,true
5200573486,,198.23,true
5200573487,,187.04,true
5200573488,,187.04,true
5200573489,,187.04,true
5200573491,,266.46,true
5200573492,,213.8,true
5200573493,,198.23,true
5200573494,,187.04,true
5200573495,,266.46,true
5200573496,,213.8,true
5200573497,,198.23,true
5200573498,,198.23,true
5200573499,,187.04,true
5200573501,,213.8,true
5200573502,,198.23,true
5200573503,,187.04,true
5200573504,,191.55,true
5200573506,,266.46,true
5200573507,,213.8,true
5200573508,,191.55,true
5200573509,,187.04,true
5200573510,,316.87,true
5200573511,,213.8,true
5200573512,,198.23,true
5200573513,,187.04,true
5200573514,,187.04,true
5200573515,,316.87,true
5200573516,,198.23,true
5200573517,,187.04,true
5200573518,,187.04,true
5200573519,,187.04,true
5200573520,,213.8,true
5200573521,,191.55,true
5200573522,,191.55,true
5200573523,,187.04,true
5200573524,,187.04,true
5200573525,,213.8,true
5200573526,,198.23,true
5200573527,,191.55,true
5200573528,,187.04,true
5200573529,,187.04,true
5200573530,,266.46,true
5200573531,,198.23,true
5200573532,,187.04,true
5200573533,,187.04,true
5200573534,,187.04,true
5200573535,,266.46,true
5200573536,,213.8,true
5200573537,,198.23,true
5200573538,,191.55,true
5200573539,,187.04,true
5200573540,,266.46,true
5200573541,,213.8,true
5200573542,,191.55,true
5200573543,,187.04,true
5200573544,,187.04,true
5200573545,,266.46,true
5200573546,,213.8,true
5200573547,,191.55,true
5200573548,,191.55,true
5200573549,,187.04,true
5200573551,,266.46,true
5200573552,,213.8,true
5200573553,,198.23,true
5200573554,,198.23,true
5200573561,,266.46,true
5200573562,,213.8,true
5200573563,,198.23,true
5200573564,,191.55,true
5200573566,,266.46,true
5200573567,,213.8,true
5200573568,,191.55,true
5200573569,,198.23,true
5200573571,,266.46,true
5200573572,,213.8,true
5200573573,,191.55,true
5200573574,,191.55,true
5200573575,,316.87,true
5200573576,,266.46,true
5200573577,,213.8,true
5200573578,,198.23,true
5200573579,,198.23,true
5200573580,,266.46,true
5200573581,,191.55,true
5200573582,,187.04,true
5200573583,,191.55,true
5200573584,,191.55,true
5200573586,,266.46,true
5200573587,,213.8,true
5200573588,,198.23,true
5200573589,,198.23,true
5200573590,,191.55,true
5200573591,,187.04,true
5200573592,,187.04,true
5200573593,,191.55,true
5200573594,,191.55,true
5200573596,,266.46,true
5200573597,,266.46,true
5200573598,,198.23,true
5200573599,,191.55,true
5200573600,,316.87,true
5200573601,,266.46,true
5200573602,,213.8,true
5200573603,,213.8,true
5200573604,,198.23,true
5200573605,,266.46,true
5200573606,,266.46,true
5200573608,,191.55,true
5200573609,,187.04,true
5200573610,,213.8,true
5200573612,,187.04,true
5200573613,,187.04,true
5200573614,,187.04,true
5200573615,,266.46,true
5200573616,,191.55,true
5200573617,,187.04,true
5200573618,,187.04,true
5200573620,,266.46,true
5200573621,,198.23,true
5200573622,,187.04,true
5200573623,,187.04,true
5200573624,,187.04,true
5200573625,,213.8,true
5200573626,,191.55,true
5200573628,,187.04,true
5200573629,,187.04,true
5200573631,,213.8,true
5200573632,,191.55,true
5200573633,,191.55,true
5200573634,,191.55,true
5200573637,,198.23,true
5200573638,,187.04,true
5200573639,,187.04,true
5200573645,,266.46,true
5200573646,,213.8,true
5200573647,,198.23,true
5200573648,,191.55,true
5200573649,,187.04,true
5200573651,,266.46,true
5200573652,,213.8,true
5200573653,,191.55,true
5200573654,,187.04,true
5200573657,,316.87,true
5200573658,,266.46,true
5200573659,,266.46,true
5200573661,,316.87,true
5200573662,,266.46,true
5200573663,,198.23,true
5200573664,,187.04,true
5200573666,,266.46,true
5200573667,,266.46,true
5200573668,,266.46,true
5200573669,,191.55,true
5200573670,,266.46,true
5200573671,,213.8,true
5200573672,,191.55,true
5200573673,,187.04,true
5200573674,,187.04,true
5200573675,,198.23,true
5200573676,,198.23,true
5200573677,,191.55,true
5200573678,,187.04,true
5200573679,,187.04,true
5200573680,,213.8,true
5200573681,,266.46,true
5200573682,,191.55,true
5200573683,,187.04,true
5200573684,,187.04,true
5200573685,,187.04,true
5200573686,,191.55,true
5200573687,,213.8,true
5200573688,,266.46,true
5200573689,,187.04,true
5200573690,,191.55,true
5200573691,,266.46,true
5200573692,,191.55,true
5200573693,,191.55,true
5200573694,,198.23,true
5200573695,,266.46,true
5200573696,,187.04,true
5200573697,,187.04,true
5200573698,,187.04,true
5200573699,,187.04,true
5200573700,,187.04,true
5200573701,,187.04,true
5200573702,,191.55,true
5200573703,,198.23,true
5200573704,,187.04,true
5200573705,,187.04,true
5200573706,,187.04,true
5200573707,,187.04,true
5200573708,,187.04,true
5200573709,,187.04,true
5200573710,,198.23,true
5200573711,,198.23,true
5200573712,,187.04,true
5200573713,,187.04,true
5200573714,,213.8,true
5200573715,,266.46,true
5200573716,,187.04,true
5200573717,,187.04,true
5200573718,,187.04,true
5200573719,,213.8,true
5200573720,,187.04,true
5200573721,,187.04,true
5200573722,,187.04,true
5200573723,,198.23,true
5200573724,,213.8,true
5200573725,,187.04,true
5200573726,,187.04,true
5200573727,,187.04,true
5200574376,63.7,316.26,true
5200575818,,14.04,true
5200576648,,19.41,true
5200597692,45.93,228.03,true
5200599600,27.58,136.93,true
5200600380,,21.82,true
5200600382,,68.08,true
5200600481,,1922.94,true
5200601366,,68.08,true
5200601401,,1904.58,true
5200601914,,1779.84,true
5200602730,,28.78,true
5200602874,,577.51,true
5200603005,44.09,218.9,true
5200603007,43.68,216.86,true
5200603022,,780.29,true
5200603326,20.96,104.06,true
5200603327,20.96,104.06,true
5200603328,20.96,104.06,true
5200603329,20.96,104.06,true
5200603330,20.96,104.06,true
5200603331,20.96,104.06,true
5200603334,,577.51,true
5200603854,,617.15,true
5200604394,,577.51,true
5200604449,,100.81,true
5200604702,,577.51,true
5200604749,,577.51,true
5200605114,24.48,121.54,true
5200605180,18.64,92.54,true
5200605484,,685.35,true
5200606306,,56.08,true
5200608712,38.57,191.49,true
5200608984,,298.46,true
5200608987,,286.98,true
5200609386,28.77,142.84,true
5200609535,,2645.76,true
5200609537,,577.51,true
5200609765,,33.04,true
5200610679,,295.02,true
