Product StockKeepingUnit,Price (01s68000002Qj2cAAC) EUR,Price (01s68000002Qj2cAAC) RON,IsActive
5200868448,148.4,,true
5200868449,157.5,,true
5200868450,169.6,,true
5200868451,190.8,,true
5200868452,210,,true
5200868453,63.4,,true
5200868455,98,,true
5200868456,115,,true
5200868457,138,,true
5200868458,154.7,,true
5200868459,165.75,,true
5200868460,176.8,,true
5200868461,198.9,,true
5200868462,222,,true
5200868464,75,,true
5200868466,108.8,,true
5200868467,122.5,,true
5200868468,162,,true
5200868469,189,,true
5200868470,183.75,,true
5200868471,216,,true
5200868472,243,,true
5200868473,245,,true
5200868475,77.5,,true
5200868476,92.4,,true
5200868477,113.6,,true
5200868478,140,,true
5200868479,168,,true
5200868480,196,,true
5200868481,210,,true
5200868482,224,,true
5200868483,252,,true
5200868484,280,,true
5200868486,84.5,,true
5200868488,123.6,,true
5200868489,146.5,,true
5200868490,174,,true
5200868491,203,,true
5200868492,217.5,,true
5200868493,232,,true
5200868494,261,,true
5200868495,292,,true
5200868503,53.4,,true
5200868509,25,,true
5200868510,30,,true
5200868511,40,,true
5200868512,50,,true
5200868513,59.99,,true
5200868514,69.99,,true
5200868515,74.99,,true
5200868516,79.99,,true
5200868517,89.99,,true
5200868518,99.99,,true
5200868519,109.99,,true
5200868520,119.99,,true
5200868521,124.99,,true
5200868522,35.84,,true
5200868524,54.13,,true
5200868525,66.56,,true
5200868526,79.53,,true
5200868527,91.57,,true
5200868528,97.07,,true
5200868530,116.34,,true
5200868531,127.2,,true
5200868730,19.3,,true
5200868731,23.16,,true
5200868732,27.02,,true
5200868733,28.95,,true
5200868734,30.88,,true
5200868735,38.59,,true
5200868736,46.31,,true
5200868737,54.03,,true
5200868738,57.89,,true
5200868739,61.75,,true
5200868740,69.47,,true
5200868741,77.19,,true
5200868742,84.91,,true
5200868743,92.63,,true
5200868744,96.49,,true
5200878491,100.43,,true
5200878493,96.87,,true
5200880176,54.95,,true
5200880177,3,,true
5200880407,5.88,,true
5200888991,112.98,,true
5200888995,111.02,,true
5200889430,19.37,,true
5200889431,23.25,,true
5200889432,28.93,,true
5200889433,36.16,,true
5200889434,43.39,,true
5200889435,50.63,,true
5200889436,54.24,,true
5200889437,57.86,,true
5200889438,65.09,,true
5200889439,72.32,,true
5200889440,79.56,,true
5200889441,86.79,,true
5200889442,90.4,,true
5200891331,111.02,,true
5200891334,112.98,,true
5200891335,99.76,,true
5200894949,39.46,,true
5200898621,2.58,,true
5200899460,33.72,,true
5200905661,1.1,,true
5200905662,2.2,,true
5200905663,6.59,,true
5200905858,0.8,,true
5200906421,43.06,,true
5200909813,66.6,,true
5200909814,73.5,,true
5200909815,81.6,,true
5200909965,1.62,,true
5200909966,4.48,,true
5200909967,3.84,,true
5200909969,3.2,,true
5200909970,2.16,,true
5200910202,60.51,,true
5200910203,62.28,,true
5200910204,45.24,,true
5200910663,152.48,,true
5200917403,97.8,,true
5200447967,30.34,,true
5200451780,12.52,,true
5200452777,37.13,,true
5200554545,29.59,,true
5200554546,30.1,,true
5200554549,30.19,,true
5200554551,28.28,,true
5200557773,15,,true
5200557835,32.49,,true
5200557837,31.45,,true
5200557839,37.13,,true
5200557841,38.04,,true
5200557845,16.45,,true
5200557847,18.5,,true
5200557850,16.45,,true
5200557853,36.43,,true
5200557855,30.93,,true
5200557857,30.93,,true
5200557858,30.93,,true
5200557859,30.93,,true
5200557860,30.93,,true
5200557861,22.06,,true
5200557862,28.25,,true
5200557863,36.07,,true
5200557864,45.26,,true
5200926904,5.23,,true
5200927829,12.1,,true
5200928500,39.8,,true
5200929230,72.2,,true
5200929231,72.2,,true
5200929234,72.2,,true
5200929235,81.45,,true
5200929861,107.83,,true
5200930240,22.2,,true
5200931131,136.4,,true
5200931426,4.42,,true
5200931428,4.64,,true
5200931431,3.79,,true
5200932079,4.51,,true
5200932271,5.42,,true
5200935465,95.4,,true
5200935466,85.25,,true
5200935467,102.3,,true
5200935468,170.5,,true
5200935665,79.5,,true
5200935666,93.6,,true
5200935667,122.4,,true
5200935668,146.5,,true
5200935669,174,,true
5200935872,203,,true
5200935873,217.5,,true
5200935874,232,,true
5200557880,5.97,,true
5200557902,9.39,,true
5200557903,12.52,,true
5200557904,11.37,,true
5200557905,15.16,,true
5200557906,13.38,,true
5200557908,17.84,,true
5200557909,50.61,,true
5200557910,15.9,,true
5200557911,16.17,,true
5200557912,22.89,,true
5200557913,151.38,,true
5200557916,9,,true
5200557917,11.2,,true
5200557918,13.5,,true
5200557925,7.4,,true
5200557926,9.1,,true
5200557933,0.5,,true
5200557934,1.27,,true
5200557935,2.91,,true
5200557936,3.99,,true
5200557937,2.51,,true
5200557938,1.72,,true
5200557939,21.1,,true
5200557940,38.1,,true
5200557941,55.2,,true
5200557942,76.5,,true
5200557945,4.92,,true
5200557946,8.95,,true
5200557948,7.33,,true
5200935875,261,,true
5200935876,282,,true
5200935877,56,,true
5200935878,66,,true
5200935879,84,,true
5200935880,104.5,,true
5200935881,125.4,,true
5200935882,146.3,,true
5200935883,156.75,,true
5200935884,168,,true
5200935885,189.9,,true
5200935886,209,,true
5200935887,72.5,,true
5200935888,81,,true
5200935889,108,,true
5200935890,122,,true
5200935891,162,,true
5200935892,189,,true
5200935893,183,,true
5200935894,216,,true
5200935895,243,,true
5200935896,244,,true
5200937783,27.3,,true
5200937793,27.36,,true
5200937795,27.32,,true
5200937799,27.39,,true
5200937800,27.37,,true
5200937801,27.39,,true
5200937802,26.66,,true
5200557960,11,,true
5200557961,13.54,,true
5200557962,16.01,,true
5200557963,14.79,,true
5200557965,15.55,,true
5200557966,15.03,,true
5200557967,15.99,,true
