Product StockKeepingUnit,Price (01s68000002Qj2IAAS) RON,Price (01s68000002Qj2IAAS) EUR,IsActive
5200886533,204.11,,true
5200886534,204.11,,true
5200886535,226.41,,true
5200886536,216.64,,true
5200886537,202.54,,true
5200886538,202.54,,true
5200886539,278.93,,true
5200886540,247.14,,true
5200886541,219.02,,true
5200886542,211.81,,true
5200886543,206.23,,true
5200886544,278.93,,true
5200886545,247.14,,true
5200886546,219.02,,true
5200886547,211.81,,true
5200886548,206.23,,true
5200886549,278.93,,true
5200886550,247.14,,true
5200886551,219.02,,true
5200885799,216.64,,true
5200885800,216.98,,true
5200885801,216.64,,true
5200885802,216.64,,true
5200885803,216.98,,true
5200885804,209.31,,true
5200885805,216.98,,true
5200885806,216.64,,true
5200885807,216.98,,true
5200885808,226.41,,true
5200885809,216.64,,true
5200885810,216.64,,true
5200885811,209.31,,true
5200885812,226.41,,true
5200885813,216.64,,true
5200885814,216.64,,true
5200885815,216.98,,true
5200885816,216.64,,true
5200885817,216.98,,true
5200885818,216.98,,true
5200885819,216.98,,true
5200885820,216.98,,true
5200885821,209.31,,true
5200885822,216.64,,true
5200885823,209.31,,true
5200885824,216.64,,true
5200885825,216.98,,true
5200885826,209.31,,true
5200885827,209.31,,true
5200886089,216.64,,true
5200886090,216.98,,true
5200886091,216.98,,true
5200886092,216.98,,true
5200886093,216.98,,true
5200886094,209.31,,true
5200886095,216.64,,true
5200886096,209.31,,true
5200886097,216.64,,true
5200886098,216.98,,true
5200886099,209.31,,true
5200886100,209.31,,true
5200886101,216.98,,true
5200886102,216.64,,true
5200886103,204.11,,true
5200886104,216.98,,true
5200886105,216.98,,true
5200886106,209.31,,true
5200886107,209.31,,true
5200886108,226.41,,true
5200886109,216.64,,true
5200886110,216.98,,true
5200886111,226.41,,true
5200886112,209.31,,true
5200886113,216.98,,true
5200886114,226.41,,true
5200886115,204.11,,true
5200886116,209.31,,true
5200886117,226.41,,true
5200886552,211.81,,true
5200886553,206.23,,true
5200886554,278.93,,true
5200886555,247.14,,true
5200886556,219.02,,true
5200886557,211.81,,true
5200886558,206.23,,true
5200886559,278.93,,true
5200886560,247.14,,true
5200886561,219.02,,true
5200886562,211.81,,true
5200886563,206.23,,true
5200886564,278.93,,true
5200886565,247.14,,true
5200886566,219.02,,true
5200886567,211.81,,true
5200886568,206.23,,true
5200886569,278.93,,true
5200886570,247.14,,true
5200886571,219.02,,true
5200886572,211.81,,true
5200886573,206.23,,true
5200886574,278.93,,true
5200886575,247.14,,true
5200886576,219.02,,true
5200886577,211.81,,true
5200886578,206.23,,true
5200886579,202.54,,true
5200885828,216.98,,true
5200885829,216.64,,true
5200885830,204.11,,true
5200885831,216.98,,true
5200885832,216.98,,true
5200885833,209.31,,true
5200885834,209.31,,true
5200885835,226.41,,true
5200885836,216.64,,true
5200885837,216.98,,true
5200885838,226.41,,true
5200885839,209.31,,true
5200885840,216.98,,true
5200885841,226.41,,true
5200885842,204.11,,true
5200885843,209.31,,true
5200885844,226.41,,true
5200885845,226.41,,true
5200885846,226.41,,true
5200885847,209.31,,true
5200885848,216.64,,true
5200885849,216.64,,true
5200885850,226.41,,true
5200885851,226.41,,true
5200885852,226.41,,true
5200885853,209.31,,true
5200885854,209.31,,true
5200885855,216.98,,true
5200885856,216.64,,true
5200886118,226.41,,true
5200886119,226.41,,true
5200886120,209.31,,true
5200886121,216.64,,true
5200886122,216.64,,true
5200886123,226.41,,true
5200886124,226.41,,true
5200886125,226.41,,true
5200886126,209.31,,true
5200886127,209.31,,true
5200886128,216.98,,true
5200886129,216.64,,true
5200886130,226.41,,true
5200886131,226.41,,true
5200886132,226.41,,true
5200886133,209.31,,true
5200886134,216.64,,true
5200886135,216.64,,true
5200886136,216.98,,true
5200886137,226.41,,true
5200886138,216.98,,true
5200886139,226.41,,true
5200886140,216.64,,true
5200886141,216.64,,true
5200886142,209.31,,true
5200886143,209.31,,true
5200886144,216.64,,true
5200886145,216.98,,true
5200886146,209.31,,true
5200886580,278.93,,true
5200886581,247.14,,true
5200886582,219.02,,true
5200886583,211.81,,true
5200886584,206.23,,true
5200886585,278.93,,true
5200886586,247.14,,true
5200886587,219.02,,true
5200886588,211.81,,true
5200886589,206.23,,true
5200886590,278.93,,true
5200886591,247.14,,true
5200886592,219.02,,true
5200886593,211.81,,true
5200886594,206.23,,true
5200886595,278.93,,true
5200886596,247.14,,true
5200886597,219.02,,true
5200886598,211.81,,true
5200886599,206.23,,true
5200886600,202.54,,true
5200886601,278.93,,true
5200886602,247.14,,true
5200886603,219.02,,true
5200886604,211.81,,true
5200886605,206.23,,true
5200886606,278.93,,true
5200886607,247.14,,true
5200885857,226.41,,true
5200885858,226.41,,true
