Product StockKeepingUnit,Price (01s68000002Qj2SAAS) EUR,IsActive
5200842745,22.8,true
5200842746,22.8,true
5200842747,24.78,true
5200842748,43.81,true
5200842749,24.78,true
5200842750,43.81,true
5200842751,55.52,true
5200845820,5.62,true
5200906080,58.26,true
5200906081,44.16,true
5200906082,42.1,true
5200906084,40.17,true
5200906085,39.65,true
5200906086,38.72,true
5200906087,56.88,true
5200906088,42.97,true
5200906089,41.7,true
5200906090,40.05,true
5200906091,39.85,true
5200906092,39.04,true
5200906093,66.52,true
5200906094,61.11,true
5200906095,58.11,true
5200906096,54.61,true
5200906097,50.62,true
5200906100,47.38,true
5200906101,42.63,true
5200906102,152.57,true
5200906103,117.89,true
5200906104,106.34,true
5200906107,97.64,true
5200906108,91.09,true
5200906109,85.56,true
5200906110,154.17,true
5200906111,119.13,true
5200906112,107.1,true
5200906113,96.8,true
5200906114,90.01,true
5200906115,74.73,true
5200906198,85.81,true
5200906200,53.27,true
5200569012,11.98,true
5200569013,12.34,true
5200569014,14.42,true
5200569015,17.54,true
5200569016,18.77,true
5200569017,19.69,true
5200569018,21.16,true
5200569019,22.2,true
5200569020,6.37,true
5200569021,6.6,true
5200569022,7.41,true
5200569023,7.73,true
5200569024,8.01,true
5200569025,8.22,true
5200569026,8.46,true
5200569027,8.66,true
5200569028,9.62,true
5200569029,10.47,true
5200569030,10.98,true
5200569031,12.5,true
5200569032,13.1,true
5200569033,13.31,true
5200569034,14.23,true
5200569035,15.25,true
5200569036,16.62,true
5200569037,17.1,true
5200569038,20.72,true
5200569039,22.32,true
5200569040,23.97,true
5200569041,25.19,true
5200848293,38.61,true
5200849891,364.74,true
5200850028,3.47,true
5200850030,4.32,true
5200852238,21.76,true
5200852239,21.76,true
5200852288,31.31,true
5200852289,31.31,true
5200852290,31.31,true
5200852291,31.31,true
5200852292,31.31,true
5200852293,31.31,true
5200852294,31.31,true
5200852295,31.31,true
5200852296,31.31,true
5200852297,31.31,true
5200852651,5.78,true
5200856852,6.49,true
5200856854,7.21,true
5200856856,5.19,true
5200856858,5.78,true
5200857449,0.99,true
5200858980,4.8,true
5200858982,5.61,true
5200858984,6.01,true
5200858987,6.4,true
5200858989,7.21,true
5200859927,4,true
5200860086,56.2,true
5200860172,72.73,true
5200906384,10.93,true
5200906421,4.04,true
5200906619,3.98,true
5200906620,5.67,true
5200906621,6.78,true
5200907041,10.04,true
5200907308,120.1,true
5200908966,9.14,true
5200908967,27.34,true
5200908973,162.52,true
5200908974,141.75,true
5200909209,938.86,true
5200909210,673.92,true
5200909212,169.85,true
5200909225,2039.17,true
5200909226,167.41,true
5200909813,7.03,true
5200909814,7.76,true
5200909815,8.62,true
