Product StockKeepingUnit,Price (01s68000002Qj2NAAS) EUR,IsActive
5200558163,31.22,true
5200558165,3.66,true
5200558166,1.46,true
5200558167,0.73,true
5200558269,12.99,true
5200558282,86.31,true
5200558295,41.88,true
5200558300,6.41,true
5200558301,8.26,true
5200558302,5.5,true
5200558303,6.13,true
5200558304,4.77,true
5200558305,6.97,true
5200558306,8.45,true
5200558307,5.55,true
5200558308,4.27,true
5200558309,5.24,true
5200558311,21.64,true
5200558314,8.37,true
5200558315,10.29,true
5200558317,10.7,true
5200568322,37.19,true
5200568323,29.75,true
5200568324,3.78,true
5200568325,4.72,true
5200568326,6.06,true
5200568327,6.72,true
5200568328,3.78,true
5200568329,4.72,true
5200568330,4.91,true
5200568331,5.19,true
5200568332,5.66,true
5200568333,4.4,true
5200568334,5.51,true
5200568335,5.73,true
5200568336,6.06,true
5200568337,6.61,true
5200568338,3.59,true
5200568339,4.49,true
5200568340,4.67,true
5200568341,4.94,true
5200568342,5.39,true
5200568343,4.71,true
5200568344,5.89,true
5200568345,6.13,true
5200568346,6.48,true
5200568347,7.07,true
5200568348,5.37,true
5200568349,6.72,true
5200568350,6.99,true
5200568351,7.39,true
5200568352,8.06,true
5200568353,5.27,true
5200568354,6.59,true
5200568355,6.85,true
5200568356,7.25,true
5200568357,7.91,true
5200568368,5.29,true
5200568369,6.17,true
5200568370,5,true
5200568372,5.1,true
5200568373,5.75,true
5200568374,6.04,true
5200568375,7.05,true
5200568376,7.54,true
5200568377,5.38,true
5200568378,6.28,true
5200568379,6.72,true
5200568381,1.89,true
5200568382,1.8,true
5200568384,6.61,true
5200568387,5.95,true
5200568388,5.16,true
5200568389,6.7,true
5200568533,103.28,true
5200568534,108.68,true
5200568576,1.14,true
5200568577,1.71,true
5200568586,1.04,true
5200568588,1.14,true
5200568592,2.23,true
5200568614,2.69,true
5200568615,3.16,true
5200568617,3.57,true
5200568619,4.03,true
5200568620,4.48,true
5200568641,2.69,true
5200568713,4.46,true
5200568762,2.28,true
5200568889,622.73,true
5200568892,70.79,true
5200568895,19.53,true
5200568897,25.3,true
5200568902,548,true
5200568903,141.59,true
5200568904,14.81,true
5200568907,37.4,true
5200568910,16.26,true
5200568911,20.32,true
5200568913,1.52,true
5200568914,1.59,true
5200568915,2.2,true
5200568916,2.32,true
5200568917,2.44,true
5200568918,2.5,true
5200568919,2.54,true
5200568920,2.64,true
5200568921,3.02,true
5200568922,3.37,true
5200568923,3.72,true
5200568924,2.14,true
5200568925,2.24,true
5200568926,2.92,true
5200568927,3.04,true
5200568928,3.23,true
5200568929,3.33,true
5200568930,3.38,true
5200568931,3.53,true
5200568932,4.05,true
5200568933,4.45,true
5200568934,4.87,true
5200568935,5.48,true
5200568936,5.96,true
5200568937,6.14,true
5200568938,6.87,true
5200568939,7.05,true
5200568940,9.56,true
5200568941,8.59,true
5200568942,11.05,true
5200568943,11.79,true
5200568944,14.97,true
5200568945,15.54,true
5200568946,16.1,true
5200568947,16.75,true
5200568948,2.96,true
5200568949,3.06,true
5200568950,3.81,true
5200568951,4.01,true
5200568952,4.26,true
5200568953,4.38,true
5200568954,4.48,true
5200568955,4.58,true
5200568956,5.23,true
5200568957,5.73,true
5200568958,6.23,true
5200568959,7.23,true
5200568960,7.71,true
5200568961,7.84,true
5200568962,8.73,true
5200568963,9.2,true
5200568964,10.27,true
5200568965,10.57,true
5200568966,13.2,true
5200568967,16.6,true
5200568968,17.63,true
5200568969,18.4,true
5200568970,19.39,true
5200568971,20.25,true
5200568972,3.93,true
5200568973,4.09,true
5200568974,4.84,true
5200568975,5.13,true
5200568976,5.41,true
5200568977,5.57,true
5200568978,5.74,true
5200568979,5.86,true
5200568980,6.61,true
5200568981,6.81,true
5200568982,7.82,true
5200568983,9.04,true
5200568984,9.58,true
5200568985,9.75,true
5200568986,10.82,true
5200568987,11.11,true
5200568988,12.34,true
5200568989,13.12,true
5200568990,15.53,true
5200568991,19.18,true
5200568992,20.47,true
5200568993,21.42,true
5200568994,22.83,true
5200568995,23.92,true
5200568996,5.1,true
5200568997,5.28,true
5200568998,6.08,true
5200568999,6.46,true
5200569000,6.72,true
5200569001,6.97,true
5200569002,7.14,true
5200569003,7.34,true
5200569004,8.18,true
5200569005,9.1,true
5200569006,9.75,true
5200569007,11.1,true
5200569008,11.7,true
5200569009,11.9,true
5200569010,12.85,true
5200569011,13.6,true
5200569012,14.98,true
5200569013,15.43,true
5200569014,18.02,true
5200569015,21.92,true
5200569016,23.46,true
5200569017,24.61,true
5200569018,26.45,true
5200569019,27.75,true
5200569020,7.96,true
5200569021,8.25,true
5200569022,9.26,true
5200569023,9.66,true
5200569024,10.01,true
5200569025,10.27,true
5200569026,10.57,true
5200569027,10.83,true
5200569028,12.03,true
5200569029,13.09,true
5200569030,13.72,true
5200569031,15.63,true
5200569032,16.37,true
5200569033,16.64,true
