Product StockKeepingUnit,Price (01s68000002Qj2OAAS) EUR,IsActive
5200842745,21.6,true
5200842746,21.6,true
5200842747,23.47,true
5200842748,41.51,true
5200842749,23.47,true
5200842750,41.51,true
5200842751,52.6,true
5200845820,5.44,true
5200906080,55.2,true
5200906081,41.83,true
5200906082,39.89,true
5200906084,38.05,true
5200906085,37.57,true
5200906086,36.68,true
5200906087,53.88,true
5200906088,40.71,true
5200906089,39.5,true
5200906090,37.94,true
5200906091,37.76,true
5200906092,36.98,true
5200906093,63.02,true
5200906094,57.9,true
5200906095,55.05,true
5200906096,51.73,true
5200906097,47.95,true
5200906100,44.88,true
5200906101,40.38,true
5200906102,144.54,true
5200906103,111.68,true
5200906104,100.75,true
5200906107,92.5,true
5200906108,86.29,true
5200906109,81.05,true
5200906110,146.05,true
5200906111,112.86,true
5200906112,101.47,true
5200906113,91.7,true
5200906114,85.28,true
5200906115,70.79,true
5200906198,83.04,true
5200906200,50.46,true
5200569012,11.98,true
5200569013,12.34,true
5200569014,14.42,true
5200569015,17.54,true
5200569016,18.77,true
5200569017,19.69,true
5200569018,21.16,true
5200569019,22.2,true
5200569020,6.37,true
5200569021,6.6,true
5200569022,7.41,true
5200569023,7.73,true
5200569024,8.01,true
5200569025,8.22,true
5200569026,8.46,true
5200569027,8.66,true
5200569028,9.62,true
5200569029,10.47,true
5200569030,10.98,true
5200569031,12.5,true
5200569032,13.1,true
5200569033,13.31,true
5200569034,14.23,true
5200569035,15.25,true
5200569036,16.62,true
5200569037,17.1,true
5200569038,20.72,true
5200569039,22.32,true
5200569040,23.97,true
5200569041,25.19,true
5200848293,37.43,true
5200849891,345.55,true
5200850028,3.36,true
5200850030,4.19,true
5200852238,20.61,true
5200852239,20.61,true
5200852288,29.66,true
5200852289,29.66,true
5200852290,29.66,true
5200852291,29.66,true
5200852292,29.66,true
5200852293,29.66,true
5200852294,29.66,true
5200852295,29.66,true
5200852296,29.66,true
5200852297,29.66,true
5200852651,5.59,true
5200856852,6.28,true
5200856854,6.98,true
5200856856,5.02,true
5200856858,5.59,true
5200857449,0.96,true
5200858980,4.65,true
5200858982,5.44,true
5200858984,5.82,true
5200858987,6.2,true
5200858989,6.98,true
5200859927,3.87,true
5200860086,53.24,true
5200860172,68.9,true
5200906384,10.36,true
5200906421,3.91,true
5200906619,3.98,true
5200906620,5.67,true
5200906621,6.78,true
5200907041,10.04,true
5200907308,113.78,true
5200908966,8.66,true
5200908967,25.9,true
5200908973,153.96,true
5200908974,134.29,true
5200909209,889.44,true
5200909210,638.45,true
5200909212,160.91,true
5200909225,1931.84,true
5200909226,158.6,true
5200909813,6.66,true
5200909814,7.35,true
